x1,x2,x3,x4,x5
0.3012,0.1876,0.0687,0.1695,0.273
0.1886,0.1702,0.2792,0.066,0.296
0.2771,0.2009,0.0528,0.3066,0.1626
0.2787,0.1819,0.1725,0.3084,0.0585
0.2721,0.2017,0.167,0.058,0.3012
0.1652,0.1932,0.2817,0.3031,0.0568
0.2863,0.1723,0.0608,0.1788,0.3018
0.3118,0.1633,0.1902,0.0571,0.2776
0.2805,0.3303,0.1859,0.0461,0.1572
0.2701,0.3088,0.0615,0.1753,0.1843
0.2687,0.3189,0.0507,0.1621,0.1996
0.1742,0.2762,0.0522,0.187,0.3104
0.1996,0.1645,0.2655,0.3237,0.0467
0.1742,0.2754,0.1863,0.3018,0.0623
0.2827,0.1749,0.0539,0.1759,0.3126
0.1926,0.3088,0.0562,0.2829,0.1595
0.0628,0.1795,0.2926,0.2804,0.1847
0.2927,0.0664,0.2806,0.1815,0.1788
0.3022,0.1805,0.0621,0.1742,0.281
0.1816,0.2699,0.0565,0.1685,0.3235
0.1804,0.3111,0.0582,0.2688,0.1815
0.3023,0.1809,0.0628,0.2773,0.1767
0.2734,0.0617,0.3041,0.1712,0.1896
0.1754,0.1844,0.3015,0.2712,0.0675
0.2847,0.2117,0.0882,0.1488,0.2666
0.1281,0.2177,0.2841,0.0971,0.273
0.2787,0.1224,0.1204,0.2528,0.2257
0.2482,0.1035,0.2273,0.1472,0.2738
0.2817,0.2732,0.198,0.1667,0.0804
0.268,0.0815,0.2726,0.2055,0.1724
0.2545,0.2742,0.1544,0.0963,0.2206
0.1177,0.1239,0.2833,0.239,0.2361
0.1117,0.2432,0.2812,0.2303,0.1336
0.2541,0.2731,0.0975,0.2147,0.1606
0.2749,0.1904,0.1996,0.0694,0.2657
0.1795,0.1971,0.0768,0.28,0.2666
0.2526,0.1576,0.2368,0.295,0.058
0.2946,0.2677,0.2455,0.0525,0.1397
0.2328,0.3001,0.1184,0.3104,0.0383
0.1204,0.3207,0.2156,0.3085,0.0348
0.2984,0.3506,0.1101,0.0368,0.2041
0.3703,0.1971,0.028,0.1037,0.3009
0.2914,0.0192,0.1647,0.0696,0.4551
