objective,sum_generators,sum_loads,sum_wind,price,URprice,DRprice,Wspill,Lshed
153416.17755739694,1836.0861626317678,1836.0861626317678,370.91383736823207,151.0,3.3,2.52,0.0,-0.0
147997.74311874717,1800.2024908526305,1800.2024908526305,406.79750914736945,151.0,3.3,2.52,0.0,-0.0
142954.41953260254,1766.802996904653,1766.802996904653,440.19700309534716,151.0,3.3,2.52,0.0,-0.0
139742.47115860088,1745.5318156198734,1745.5318156198734,461.4681843801264,151.0,3.3,2.52,0.0,-0.0
138948.7414775753,1740.2753276660617,1740.2753276660617,466.72467233393826,151.0,3.3,2.52,0.0,-0.0
138447.27028179466,1736.9543263695014,1736.9543263695014,470.04567363049864,151.0,3.3,2.52,0.0,-0.0
137509.62537850952,1730.7447574735734,1730.7447574735734,476.2552425264267,151.0,3.3,2.52,0.0,-0.0
137969.43826985313,1733.7898759592924,1733.7898759592924,473.21012404070746,151.0,3.3,2.52,0.0,-0.0
139019.18202040705,1740.7418213271992,1740.7418213271992,466.2581786728007,151.0,3.3,2.52,0.0,-0.0
138542.56802862958,1737.5854372756926,1737.5854372756926,469.4145627243072,151.0,3.3,2.52,0.0,-0.0
138174.36681643492,1735.147018651887,1735.147018651887,471.85298134811296,151.0,3.3,2.52,0.0,-0.0
138924.2941160666,1740.1134246097126,1740.1134246097126,466.88657539028725,151.0,3.3,2.52,0.0,-0.0
140566.9091308926,1750.9916697410108,1750.9916697410108,456.0083302589891,151.0,3.3,2.52,0.0,-0.0
141727.98398079406,1758.6809071575767,1758.6809071575767,448.31909284242334,151.0,3.3,2.52,0.0,-0.0
141252.98024576204,1755.5351870580268,1755.5351870580268,451.46481294197304,151.0,3.3,2.52,0.0,-0.0
140809.69593046344,1752.5995293408178,1752.5995293408178,454.4004706591823,151.0,3.3,2.52,0.0,-0.0
140915.71096400055,1753.301615655633,1753.301615655633,453.698384344367,151.0,3.3,2.52,0.0,-0.0
140962.62433997664,1753.6123002647462,1753.6123002647462,453.38769973525376,151.0,3.3,2.52,0.0,-0.0
139312.4994472151,1742.6843208424843,1742.6843208424843,464.3156791575157,151.0,3.3,2.52,0.0,-0.0
137915.91771603643,1733.4354352055393,1733.4354352055393,473.5645647944605,151.0,3.3,2.52,0.0,-0.0
137761.30233348196,1732.411492274715,1732.411492274715,474.5885077252847,151.0,3.3,2.52,0.0,-0.0
137098.27107343945,1728.0205567777448,1728.0205567777448,478.97944322225504,151.0,3.3,2.52,0.0,-0.0
139664.9332856588,1745.018319772575,1745.018319772575,461.98168022742504,151.0,3.3,2.52,0.0,-0.0
141888.57778915338,1759.7444423122743,1759.7444423122743,447.2555576877257,151.0,3.3,2.52,0.0,-0.0
147759.77382745146,1798.6265352811356,1798.6265352811356,408.3734647188644,151.0,3.3,2.52,0.0,-0.0
158777.08406849072,1871.4207258910901,1871.4207258910901,335.5792741089099,151.77,4.07,2.52,0.0,-0.0
172953.62932385402,1957.1259018505946,1957.1259018505946,249.87409814940534,175.0,4.07,2.52,0.0,-0.0
182525.16653626307,2011.8204002072177,2011.8204002072177,195.1795997927822,175.0,4.07,2.52,0.0,-0.0
187747.76112491934,2041.663797856682,2041.663797856682,165.33620214331788,175.0,4.07,2.52,0.0,-0.0
189042.26942442617,2049.060988139578,2049.060988139578,157.93901186042172,175.0,4.07,2.52,0.0,-0.0
186608.2727036145,2035.1524354492258,2035.1524354492258,171.847564550774,175.0,4.07,2.52,0.0,-0.0
183533.99294629192,2017.5851225502397,2017.5851225502397,189.41487744976013,175.0,4.07,2.52,0.0,-0.0
183042.23589668312,2014.7750822667608,2014.7750822667608,192.22491773323918,175.0,4.07,2.52,0.0,-0.0
185632.02557597385,2029.5738804341363,2029.5738804341363,177.4261195658635,175.0,4.07,2.52,0.0,-0.0
189374.05563090974,2050.956909319484,2050.956909319484,156.04309068051566,175.0,4.07,2.52,0.0,-0.0
194328.42989900647,2079.2676194228943,2079.2676194228943,127.7323805771056,175.0,4.07,2.52,0.0,-0.0
198077.7473753731,2100.6922907164176,2100.6922907164176,106.3077092835822,175.0,4.07,2.52,0.0,-0.0
200154.06932249767,2112.5569875571296,2112.5569875571296,94.44301244287024,175.0,4.07,2.52,0.0,-0.0
201225.4333266556,2118.6790675808893,2118.6790675808893,88.32093241911069,175.0,4.07,2.52,0.0,-0.0
201890.92879294182,2122.4818988168104,2122.4818988168104,84.51810118318943,175.0,4.07,2.52,0.0,-0.0
202496.19804984902,2125.9405802848514,2125.9405802848514,81.05941971514824,175.0,4.07,2.52,0.0,-0.0
202981.965979581,2128.716397026177,2128.716397026177,78.28360297382251,175.0,4.07,2.52,0.0,-0.0
204923.72233064595,2139.8121476036913,2139.8121476036913,67.18785239630859,175.0,4.07,2.52,0.0,-0.0
