objective,sum_generators,sum_wind,expected_wind,price,Cexp,Lshed,Wspill,Ureserve,Dreserve
153106.5767134765,1805.7200592451027,401.27994075489744,370.38825685950405,151.0,4664.644268204393,0.0,0.0,52.98590886715476,0.0
147681.04969413712,1773.0372505326525,433.9627494673475,406.18769122382,151.0,4194.033794772658,0.0,0.0,46.98214210118681,0.0
142572.05298792577,1741.475671042365,465.52432895763496,439.9991290333485,151.0,3854.3051885672535,0.0,0.0,45.930749079203395,0.0
139389.83121658256,1721.9017854770552,485.0982145229448,461.1063419305548,151.0,3622.772761450885,0.0,0.0,47.43601457464172,0.0
138591.06312336563,1714.175765812241,492.8242341877591,466.4048518523237,151.0,3989.326732650748,0.0,0.0,47.83204638378419,0.0
138154.2072885175,1715.4252706605578,491.57472933944223,469.2130243186573,151.0,3376.6174581385167,0.0,0.0,43.946654737799804,0.0
137158.45094968082,1708.141566932035,498.85843306796505,475.7543044933178,151.0,3488.7234147717345,0.0,0.0,41.515432779330524,0.0
137621.80102527232,1711.4799800425744,495.52001995742575,472.67733725125265,151.0,3449.245088632138,0.0,0.0,41.12998491256462,0.0
138679.21144567683,1718.8911699630683,488.10883003693175,465.7104179685276,151.0,3382.1602223290306,0.0,0.0,42.76804815893695,0.0
138245.76981777253,1714.4369880913148,492.56301190868527,468.60374058842916,151.0,3617.8499693586673,0.0,0.0,43.813529280399166,0.0
137715.32839109833,1712.4915175816318,494.5084824183682,472.0583627484058,151.0,3389.9680701643133,0.0,0.0,41.14883821442709,0.0
138387.50109355888,1716.196699953935,490.8033000460649,467.61983936130605,151.0,3500.7025633985845,0.0,0.0,41.74146579275657,0.0
140208.04887587368,1724.152220464187,482.84777953581323,455.7659076824785,151.0,4089.362649853551,0.0,0.0,51.015435129666855,0.0
141510.57083634948,1732.7543766871554,474.2456233128446,447.14544317524326,151.0,4092.1272007778084,0.0,0.0,51.26750176096971,0.0
141071.87302666705,1727.9953847943048,479.0046152056952,450.08859504392126,151.0,4366.319044427856,0.0,0.0,53.00026615125478,0.0
140607.96417501682,1724.4156353752023,482.58436462479773,453.14186957289803,151.0,4445.816752836854,0.0,0.0,52.132266825581326,0.0
140680.09319013107,1723.8760862773272,483.12391372267285,452.68123695893496,151.0,4596.844191324424,0.0,0.0,52.91211240309667,0.0
140581.01746810044,1725.286847750268,481.71315224973193,453.3666851751181,151.0,4280.316528266678,0.0,0.0,54.253615013118406,0.0
138977.63198106777,1712.74551322347,494.2544867765301,463.95375108470694,151.0,4575.4110894652895,0.0,0.0,52.81769541167324,0.0
137540.00295076502,1704.560397809766,502.4396021902338,473.48525227574163,151.0,4372.106837088331,0.0,0.0,53.3109225460621,0.0
137468.78133704825,1703.2017960464605,503.7982039535397,473.9681006386356,151.0,4504.345600550524,0.0,0.0,53.822585903701,0.0
136794.17921974283,1698.3839312208838,508.61606877911606,478.49003470001287,151.0,4549.031145944573,0.0,0.0,56.31044225599868,0.0
139414.73601126537,1713.9667721783073,493.03322782169266,461.16743827631797,151.0,4811.734221351581,0.0,0.0,57.778542724052954,0.0
141568.73179007065,1728.093317536709,478.9066824632911,446.94753120945825,151.0,4825.831839328752,0.0,0.0,59.83606142389391,0.0
147489.41578566053,1755.1379488927041,451.86205110729594,407.8954689581714,151.0,6638.953904517801,0.0,0.0,67.05502980133389,0.0
158387.40765196824,1829.1872283664488,377.8127716335511,335.84245140694816,151.0,6337.518354217049,0.0,0.0,72.50539830830684,0.0
172712.26766410205,1971.6892931981702,235.31070680182995,249.0972453823402,175.0,-2397.57663375802,0.0,0.0,9.333261788445043,52.52624005092764
182104.82117870668,2027.8498319137254,179.15016808627468,195.1789589939019,175.0,-2793.9150447835364,0.0,0.0,6.546235905856179,43.89141290742964
187511.0617447332,2066.2929070355594,140.7070929644404,164.3469610567162,175.0,-4132.055165702213,0.0,0.0,2.9663394684510536,49.89867623845018
188605.8206437203,2062.553056525054,144.44694347494595,158.15048927817332,175.0,-2375.7728760237524,0.0,0.0,14.473859806372502,42.570746266042875
186258.90086121595,2033.850901639477,173.14909836052317,171.64241061113785,175.0,337.9935561424343,0.0,0.0,42.0,19.712345589073692
183083.07365960005,2030.3717183753836,176.6282816246165,189.84771523204114,175.0,-2280.583087280982,0.0,0.0,18.595758169953143,44.09924891798849
182563.45824883645,2033.6558560244753,173.3441439755249,192.71060821308987,175.0,-3361.2051468787085,0.0,0.0,16.357834287230446,41.685059702068116
185235.54739900038,2029.3739680856984,177.62603191430162,177.66586499918358,175.0,63.00604135042022,0.0,0.0,39.29516577087071,29.943786093077847
189052.53993707272,2049.1252560141256,157.87474398587472,155.85790467553107,175.0,427.12721640353914,0.0,0.0,41.101693868239906,28.15794320261668
193686.58202091145,2080.6035943152583,126.39640568474192,129.12319997175766,175.0,-418.12431500501697,0.0,0.0,32.72644349664206,24.700853063011692
197555.4016035476,2106.6958897531194,100.30411024688038,106.9572278821922,175.0,-1113.9667223435508,0.0,0.0,24.82678760655874,28.120862727428687
199633.07731843003,2140.2815286611503,66.71847133884941,94.89075639151478,175.0,-4930.149884216437,0.0,0.0,0.0,44.22638344659501
200859.87789194705,2145.8398637641603,61.16013623583974,87.90382617401228,175.0,-4680.145739180195,0.0,0.0,0.0,45.26653241709425
201374.70125017088,2148.6577333805317,58.3422666194682,85.16308703874168,175.0,-4693.643573372859,0.0,0.0,0.0,54.22175113248843
202001.6056747418,2151.521191256734,55.478808743266185,81.50912850269215,175.0,-4555.305957899544,0.0,0.0,0.0,51.031339112697125
